Loaded feature columns successfully: stock=['characteristic_1', 'characteristic_2', 'characteristic_3', 'price'] market=['MKT', 'SMB', 'HML']
Dataset split summary: total_num_days=200 train_split_ratio=0.8000 validation_split_ratio=0.1000 backtest_split_ratio=0.1000 train_split_length=160 validation_split_length=20 backtest_split_length=20 analysis_horizon_days=19 train_horizon_start_index=141 train_horizon_end_index=159 validation_horizon_start_index=161 validation_horizon_end_index=179 backtest_horizon_start_index=181 backtest_horizon_end_index=199 dynamic_train_lookback_length=141 dynamic_validation_lookback_length=161 dynamic_backtest_lookback_length=181 train_window_count=1 validation_window_count=1 backtest_window_count=1
Running epoch-based train mode with train_windows=1 validation_windows=1 backtest_windows=1 batch_size=1 num_epochs=300.
epoch=1 train_loss=0.13458240 train_portfolio_return=-0.13458237 val_loss=0.06697488 val_portfolio_return=-0.06697491
epoch=2 train_loss=0.08519518 train_portfolio_return=-0.08519518 val_loss=0.04135573 val_portfolio_return=-0.04135573
epoch=3 train_loss=0.04992104 train_portfolio_return=-0.04992105 val_loss=0.02982563 val_portfolio_return=-0.02982563
epoch=4 train_loss=0.03609645 train_portfolio_return=-0.03609644 val_loss=0.01977324 val_portfolio_return=-0.01977326
epoch=5 train_loss=0.02180851 train_portfolio_return=-0.02180851 val_loss=0.01710576 val_portfolio_return=-0.01710575
epoch=6 train_loss=0.01311392 train_portfolio_return=-0.01311390 val_loss=0.03214526 val_portfolio_return=-0.03214524
epoch=7 train_loss=0.02046001 train_portfolio_return=-0.02046002 val_loss=0.01514387 val_portfolio_return=-0.01514387
epoch=8 train_loss=0.01229757 train_portfolio_return=-0.01229756 val_loss=0.01845753 val_portfolio_return=-0.01845754
epoch=9 train_loss=0.02218115 train_portfolio_return=-0.02218118 val_loss=0.02219522 val_portfolio_return=-0.02219524
epoch=10 train_loss=0.02756500 train_portfolio_return=-0.02756499 val_loss=0.02131778 val_portfolio_return=-0.02131779
epoch=11 train_loss=0.02548778 train_portfolio_return=-0.02548777 val_loss=0.01848233 val_portfolio_return=-0.01848233
epoch=12 train_loss=0.01970536 train_portfolio_return=-0.01970534 val_loss=0.01663524 val_portfolio_return=-0.01663527
epoch=13 train_loss=0.01513076 train_portfolio_return=-0.01513077 val_loss=0.01634014 val_portfolio_return=-0.01634014
epoch=14 train_loss=0.01345176 train_portfolio_return=-0.01345177 val_loss=0.01664627 val_portfolio_return=-0.01664628
epoch=15 train_loss=0.01314771 train_portfolio_return=-0.01314771 val_loss=0.01717830 val_portfolio_return=-0.01717827
epoch=16 train_loss=0.01344925 train_portfolio_return=-0.01344924 val_loss=0.01793337 val_portfolio_return=-0.01793336
epoch=17 train_loss=0.01346403 train_portfolio_return=-0.01346402 val_loss=0.01866162 val_portfolio_return=-0.01866159
epoch=18 train_loss=0.01198322 train_portfolio_return=-0.01198319 val_loss=0.01927292 val_portfolio_return=-0.01927292
epoch=19 train_loss=0.00804383 train_portfolio_return=-0.00804380 val_loss=0.02106363 val_portfolio_return=-0.02106361
epoch=20 train_loss=0.00349313 train_portfolio_return=-0.00349315 val_loss=0.02354366 val_portfolio_return=-0.02354366
epoch=21 train_loss=-0.00073409 train_portfolio_return=0.00073403 val_loss=0.02751142 val_portfolio_return=-0.02751143
epoch=22 train_loss=-0.00229681 train_portfolio_return=0.00229686 val_loss=0.02564740 val_portfolio_return=-0.02564741
epoch=23 train_loss=-0.00488639 train_portfolio_return=0.00488636 val_loss=0.01939005 val_portfolio_return=-0.01939004
epoch=24 train_loss=-0.00673866 train_portfolio_return=0.00673869 val_loss=0.02413940 val_portfolio_return=-0.02413941
epoch=25 train_loss=-0.00888860 train_portfolio_return=0.00888863 val_loss=0.02234805 val_portfolio_return=-0.02234806
epoch=26 train_loss=-0.01183891 train_portfolio_return=0.01183889 val_loss=0.02280438 val_portfolio_return=-0.02280437
epoch=27 train_loss=-0.01433492 train_portfolio_return=0.01433488 val_loss=0.03291476 val_portfolio_return=-0.03291477
epoch=28 train_loss=-0.01606798 train_portfolio_return=0.01606800 val_loss=0.03406370 val_portfolio_return=-0.03406371
epoch=29 train_loss=-0.01702619 train_portfolio_return=0.01702614 val_loss=0.03831679 val_portfolio_return=-0.03831677
epoch=30 train_loss=-0.01908040 train_portfolio_return=0.01908045 val_loss=0.03765178 val_portfolio_return=-0.03765175
epoch=31 train_loss=-0.02352655 train_portfolio_return=0.02352658 val_loss=0.04003203 val_portfolio_return=-0.04003202
epoch=32 train_loss=-0.03268027 train_portfolio_return=0.03268026 val_loss=0.03853947 val_portfolio_return=-0.03853946
epoch=33 train_loss=-0.05299973 train_portfolio_return=0.05299975 val_loss=0.05254281 val_portfolio_return=-0.05254284
epoch=34 train_loss=-0.08100796 train_portfolio_return=0.08100799 val_loss=0.05047947 val_portfolio_return=-0.05047945
epoch=35 train_loss=-0.05274343 train_portfolio_return=0.05274340 val_loss=0.05363762 val_portfolio_return=-0.05363759
epoch=36 train_loss=-0.06218696 train_portfolio_return=0.06218690 val_loss=0.07296085 val_portfolio_return=-0.07296083
epoch=37 train_loss=-0.08102810 train_portfolio_return=0.08102815 val_loss=0.08318913 val_portfolio_return=-0.08318914
epoch=38 train_loss=-0.11004293 train_portfolio_return=0.11004290 val_loss=0.08679104 val_portfolio_return=-0.08679105
epoch=39 train_loss=-0.11270881 train_portfolio_return=0.11270887 val_loss=0.08800852 val_portfolio_return=-0.08800851
epoch=40 train_loss=-0.11503983 train_portfolio_return=0.11503983 val_loss=0.03441036 val_portfolio_return=-0.03441038
epoch=41 train_loss=-0.00133455 train_portfolio_return=0.00133459 val_loss=0.08805764 val_portfolio_return=-0.08805761
epoch=42 train_loss=-0.11496973 train_portfolio_return=0.11496979 val_loss=0.08083683 val_portfolio_return=-0.08083682
epoch=43 train_loss=-0.08403599 train_portfolio_return=0.08403603 val_loss=0.08660412 val_portfolio_return=-0.08660411
epoch=44 train_loss=-0.10756922 train_portfolio_return=0.10756917 val_loss=0.08810055 val_portfolio_return=-0.08810055
