stock_id,t,state,characteristic_1,characteristic_2,characteristic_3,mu,alpha,epsilon_variance,beta_mkt,beta_smb,beta_hml,MKT,SMB,HML,epsilon,raw_return,return,price
stock_000,t_0,1,-0.77561842460726,-0.7928781706663868,-0.8066430515820054,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.844876315078548,0.003560914666806636,-0.4033215257910027,1.956%,-2.643%,-0.531%,3.255%,5.132%,5.132%,105.1321896788765
stock_001,t_0,1,-0.7108164185456824,-0.778363866342737,0.09481313697539263,"(-0.5,-0.5,0.0)",0.020%,2.500%,0.8578367162908636,0.010818066828631512,0.04740656848769632,1.956%,-2.643%,-0.531%,-3.999%,-2.355%,-2.355%,97.6449848941277
stock_002,t_0,1,-0.8558394879384466,-0.6810070735180287,0.8692140703906628,"(-0.5,-0.5,0.5)",0.020%,2.500%,0.8288321024123106,0.059496463240985675,0.4346070351953314,1.956%,-2.643%,-0.531%,-0.756%,0.497%,0.497%,100.49669965855006
stock_003,t_0,1,-0.7041772928035512,0.04180601996139034,-0.7977459140244911,"(-0.5,0.0,-0.5)",0.020%,2.500%,0.8591645414392898,0.4209030099806952,-0.39887295701224557,1.956%,-2.643%,-0.531%,-3.273%,-2.473%,-2.473%,97.52700412691445
stock_004,t_0,1,-0.7172133904841448,0.09947081165180678,0.03784820775839291,"(-0.5,0.0,0.0)",0.020%,2.500%,0.856557321903171,0.44973540582590343,0.018924103879196456,1.956%,-2.643%,-0.531%,0.610%,1.107%,1.107%,101.10684540034305
stock_005,t_0,1,-0.7541671707142118,0.09114191664855548,0.8227795614831698,"(-0.5,0.0,0.5)",0.020%,2.500%,0.8491665658571577,0.44557095832427773,0.4113897807415849,1.956%,-2.643%,-0.531%,3.786%,4.071%,4.071%,104.0706295575653
stock_006,t_0,1,-0.8358630102238838,0.8986989117649719,-0.8152339494212727,"(-0.5,0.5,-0.5)",0.020%,2.500%,0.8328273979552232,0.8493494558824859,-0.40761697471063635,1.956%,-2.643%,-0.531%,5.059%,4.680%,4.680%,104.67966033489628
stock_007,t_0,1,-0.8602204354070817,0.8261567801632784,0.021944146466435183,"(-0.5,0.5,0.0)",0.020%,2.500%,0.8279559129185836,0.8130783900816392,0.010972073233217592,1.956%,-2.643%,-0.531%,-4.445%,-4.961%,-4.961%,95.03937020709031
stock_008,t_0,1,-0.8165921486459357,0.785452166956218,0.8771982696166883,"(-0.5,0.5,0.5)",0.020%,2.500%,0.8366815702708128,0.792726083478109,0.43859913480834417,1.956%,-2.643%,-0.531%,-1.437%,-2.109%,-2.109%,97.89088889034606
stock_009,t_0,1,0.13383495540366486,-0.7889879246776274,-0.8196157617705306,"(0.0,-0.5,-0.5)",0.020%,2.500%,1.0267669910807329,0.005506037661186347,-0.4098078808852653,1.956%,-2.643%,-0.531%,1.759%,3.990%,3.990%,103.99046988223091
stock_010,t_0,1,0.1030996285248745,-0.7319658515683369,0.03199936409069136,"(0.0,-0.5,0.0)",0.020%,2.500%,1.0206199257049748,0.034017074215831555,0.01599968204534568,1.956%,-2.643%,-0.531%,3.948%,5.866%,5.866%,105.8663710688601
stock_011,t_0,1,0.11268006847525358,-0.7124274714050227,0.8625826138275006,"(0.0,-0.5,0.5)",0.020%,2.500%,1.0225360136950508,0.043786264297488664,0.4312913069137503,1.956%,-2.643%,-0.531%,1.053%,2.728%,2.728%,102.72819421983999
