mu,alpha,epsilon,mean_return,std_return,count,spearman_alpha_mean,spearman_epsilon_std,spearman_epsilon_mean,spearman_mu0_mean,spearman_mu0_std
"(0.5, 0.5, -0.5)",0.0003,0.01,0.014287645,0.02071892353989795,4000,0.05489347714294753,0.819019300984894,-0.0031614044427875545,0.15993832476466127,0.12444437488427372
"(0.5, 0.5, -0.5)",0.0002,0.02,0.01426755,0.026954304371074593,4000,,,,,
"(0.5, 0.5, -0.5)",0.0003,0.005,0.0142590575,0.018508431047543007,4000,,,,,
"(0.5, 0.5, -0.5)",0.0002,0.005,0.0141731175,0.01843727980961098,4000,,,,,
"(0.5, 0.5, -0.5)",0.0002,0.01,0.014130735,0.020640467562171923,4000,,,,,
"(0.5, 0.5, -0.5)",0.0003,0.02,0.014044777500000001,0.026683749471765845,4000,,,,,
"(0.5, 0.5, -0.5)",-0.0001,0.02,0.0138752775,0.026623838296992584,4000,,,,,
"(0.5, 0.5, -0.5)",-0.0001,0.01,0.01379483,0.020730983663155296,4000,,,,,
"(0.0, 0.5, -0.5)",0.0003,0.005,0.0137793025,0.017720872213762437,4000,,,,,
"(0.5, 0.5, -0.5)",-0.0001,0.005,0.0137662175,0.0185193439123104,4000,,,,,
"(0.0, 0.5, -0.5)",0.0002,0.005,0.013709272500000001,0.017817567831401707,4000,,,,,
"(0.0, 0.5, -0.5)",0.0003,0.01,0.013642989999999999,0.01983659916483938,4000,,,,,
"(0.0, 0.5, -0.5)",0.0002,0.01,0.01364048,0.019762926290999905,4000,,,,,
"(0.0, 0.5, -0.5)",-0.0001,0.01,0.0135878525,0.019633823015775542,4000,,,,,
"(0.0, 0.5, -0.5)",0.0002,0.02,0.0135878075,0.026475355274805573,4000,,,,,
"(0.0, 0.5, -0.5)",-0.0001,0.005,0.0134250675,0.017863321540507474,4000,,,,,
"(0.5, 0.5, 0.0)",0.0003,0.005,0.013405569999999999,0.019485376767002443,4000,,,,,
"(-0.5, 0.5, -0.5)",0.0003,0.02,0.0133742425,0.025262745026971442,4000,,,,,
"(0.5, 0.5, 0.0)",0.0002,0.02,0.01334277,0.02756941689742663,4000,,,,,
"(0.0, 0.5, -0.5)",0.0003,0.02,0.0133296875,0.026840650480323584,4000,,,,,
"(0.5, 0.5, 0.0)",-0.0001,0.02,0.0133176775,0.027724492163021107,4000,,,,,
"(0.5, 0.5, 0.0)",0.0003,0.02,0.013314395,0.027299832082668764,4000,,,,,
"(-0.5, 0.5, -0.5)",0.0002,0.02,0.0132870525,0.02589554089504224,4000,,,,,
"(-0.5, 0.5, -0.5)",0.0003,0.01,0.01328309,0.019087528754146908,4000,,,,,
"(-0.5, 0.5, -0.5)",0.0003,0.005,0.0132053775,0.01713277777612477,4000,,,,,
"(0.5, 0.5, 0.0)",0.0002,0.005,0.0131977125,0.01936343221950008,4000,,,,,
"(0.5, 0.5, 0.0)",0.0002,0.01,0.013157602499999999,0.021338826739271444,4000,,,,,
"(-0.5, 0.5, -0.5)",0.0002,0.01,0.0131466925,0.019160901165363065,4000,,,,,
"(-0.5, 0.5, -0.5)",0.0002,0.005,0.0130963125,0.017065169756906955,4000,,,,,
"(0.0, 0.5, -0.5)",-0.0001,0.02,0.013093605,0.02637488380690861,4000,,,,,
"(0.5, 0.5, 0.0)",0.0003,0.01,0.0130608975,0.021051386477798875,4000,,,,,
"(0.0, 0.5, 0.0)",0.0003,0.02,0.013039552499999999,0.027529608925966412,4000,,,,,
"(0.0, 0.5, 0.0)",0.0003,0.01,0.012978937500000001,0.02069478227475332,4000,,,,,
"(0.0, 0.5, 0.0)",0.0003,0.005,0.012954477499999999,0.018785696464994645,4000,,,,,
"(0.5, 0.5, 0.5)",0.0003,0.02,0.0129184475,0.028917692738236703,4000,,,,,
"(-0.5, 0.5, -0.5)",-0.0001,0.005,0.012861214999999999,0.01700180554005017,4000,,,,,
"(0.5, 0.5, 0.0)",-0.0001,0.005,0.012844345,0.019444447949478798,4000,,,,,
"(-0.5, 0.5, -0.5)",-0.0001,0.02,0.01284067,0.025991596808916294,4000,,,,,
"(0.5, 0.5, 0.0)",-0.0001,0.01,0.0128096625,0.021365484060474227,4000,,,,,
"(0.0, 0.5, 0.0)",0.0002,0.005,0.0128017525,0.0187008793570229,4000,,,,,
"(0.0, 0.5, 0.0)",-0.0001,0.01,0.012772465,0.020597201933895116,4000,,,,,
"(-0.5, 0.5, -0.5)",-0.0001,0.01,0.012720174999999998,0.01929824837561603,4000,,,,,
"(0.5, 0.5, 0.5)",0.0002,0.02,0.0127111275,0.029246308241215335,4000,,,,,
"(0.0, 0.5, 0.0)",0.0002,0.01,0.01256411,0.020544216674470508,4000,,,,,
"(0.5, 0.5, 0.5)",0.0003,0.01,0.0125333475,0.02279874226534138,4000,,,,,
"(-0.5, 0.5, 0.0)",0.0003,0.02,0.012525264999999999,0.026455498355315167,4000,,,,,
"(-0.5, 0.5, 0.0)",0.0003,0.005,0.0125056275,0.017919279004643452,4000,,,,,
"(0.0, 0.5, 0.0)",-0.0001,0.005,0.01249575,0.018675141357260918,4000,,,,,
"(0.5, 0.5, 0.5)",0.0003,0.005,0.012466645,0.02106878526095105,4000,,,,,
"(-0.5, 0.5, 0.0)",0.0003,0.01,0.0124542825,0.019768851558909114,4000,,,,,
"(0.5, 0.5, 0.5)",0.0002,0.01,0.0123737225,0.022513830894882944,4000,,,,,
"(0.5, 0.5, 0.5)",0.0002,0.005,0.0123537525,0.02114522891624076,4000,,,,,
"(0.5, 0.5, 0.5)",-0.0001,0.01,0.012338597500000001,0.022821904527001093,4000,,,,,
"(-0.5, 0.5, 0.0)",0.0002,0.02,0.01227883,0.026296240222578617,4000,,,,,
"(-0.5, 0.5, 0.0)",0.0002,0.005,0.012257005,0.017941651147301,4000,,,,,
"(0.0, 0.5, 0.0)",0.0002,0.02,0.012249855,0.026514349179398676,4000,,,,,
"(-0.5, 0.5, 0.0)",0.0002,0.01,0.0122277375,0.02005113275571463,4000,,,,,
"(0.5, 0.5, 0.5)",-0.0001,0.005,0.012192007500000001,0.021155004595835154,4000,,,,,
"(0.0, 0.5, 0.5)",0.0002,0.005,0.012069324999999999,0.020346665072912384,4000,,,,,
"(-0.5, 0.5, 0.0)",-0.0001,0.005,0.01206705,0.01790258301662547,4000,,,,,
"(0.0, 0.5, 0.5)",0.0003,0.005,0.012026697499999999,0.020471433097410573,4000,,,,,
"(0.0, 0.5, 0.5)",0.0003,0.01,0.011984149999999999,0.02225045252881241,4000,,,,,
"(0.0, 0.5, 0.0)",-0.0001,0.02,0.011966325,0.02754426759261676,4000,,,,,
"(-0.5, 0.5, 0.0)",-0.0001,0.01,0.011862959999999999,0.019773380250478978,4000,,,,,
"(0.0, 0.5, 0.5)",0.0002,0.01,0.01180371,0.022195825653825402,4000,,,,,
"(0.5, 0.5, 0.5)",-0.0001,0.02,0.011745717499999999,0.028407372468037775,4000,,,,,
"(0.5, 0.0, -0.5)",0.0003,0.02,0.011714825,0.024892504049589727,4000,,,,,
"(-0.5, 0.5, 0.0)",-0.0001,0.02,0.011681077500000001,0.025978841644062636,4000,,,,,
"(-0.5, 0.5, 0.5)",0.0003,0.01,0.01166687,0.021546302996019957,4000,,,,,
"(0.0, 0.5, 0.5)",0.0002,0.02,0.01163718,0.028681634827737723,4000,,,,,
"(0.0, 0.5, 0.5)",-0.0001,0.005,0.01161239,0.02037800606587176,4000,,,,,
"(0.0, 0.5, 0.5)",0.0003,0.02,0.01157979,0.028340387574941096,4000,,,,,
"(0.0, 0.5, 0.5)",-0.0001,0.01,0.0115190125,0.0225168909264599,4000,,,,,
"(-0.5, 0.5, 0.5)",0.0002,0.005,0.0114997225,0.019443009511202407,4000,,,,,
"(0.0, 0.5, 0.5)",-0.0001,0.02,0.0114926525,0.02798237508715303,4000,,,,,
"(-0.5, 0.5, 0.5)",0.0003,0.005,0.0114231125,0.019435370010349798,4000,,,,,
"(-0.5, 0.5, 0.5)",0.0002,0.02,0.0113875675,0.028035766015965562,4000,,,,,
"(-0.5, 0.5, 0.5)",0.0002,0.01,0.0113536625,0.021610212869987305,4000,,,,,
"(-0.5, 0.5, 0.5)",0.0003,0.02,0.01128734,0.027840424824129337,4000,,,,,
"(0.5, 0.0, -0.5)",0.0003,0.01,0.011129670000000001,0.017844281529019918,4000,,,,,
"(-0.5, 0.5, 0.5)",-0.0001,0.005,0.011084232500000001,0.01952528523483892,4000,,,,,
"(-0.5, 0.5, 0.5)",-0.0001,0.01,0.011077535,0.021523132512068457,4000,,,,,
"(-0.5, 0.5, 0.5)",-0.0001,0.02,0.0110562275,0.02782150680505045,4000,,,,,
"(0.5, 0.0, -0.5)",0.0002,0.005,0.0109954575,0.015443115070848473,4000,,,,,
"(0.0, 0.0, -0.5)",0.0003,0.02,0.010977652499999999,0.024486538192492757,4000,,,,,
"(0.5, 0.0, -0.5)",0.0003,0.005,0.0108990375,0.0154098961198056,4000,,,,,
"(0.0, 0.0, -0.5)",0.0002,0.02,0.010710825,0.02415918541630433,4000,,,,,
"(0.5, 0.0, -0.5)",0.0002,0.02,0.010613285,0.025050429521538724,4000,,,,,
"(0.0, 0.0, -0.5)",0.0002,0.005,0.0105303225,0.01471411523054472,4000,,,,,
"(0.5, 0.0, -0.5)",0.0002,0.01,0.0105138075,0.017931118379217903,4000,,,,,
"(0.5, 0.0, -0.5)",-0.0001,0.005,0.0104862075,0.01527650002308066,4000,,,,,
"(0.0, 0.0, -0.5)",0.0002,0.01,0.010470997499999999,0.017451403648483983,4000,,,,,
"(0.5, 0.0, -0.5)",-0.0001,0.01,0.0104432125,0.017587111797568958,4000,,,,,
"(0.0, 0.0, -0.5)",0.0003,0.01,0.010420312499999999,0.017031938407263577,4000,,,,,
"(0.0, 0.0, -0.5)",0.0003,0.005,0.01040858,0.014578824948116275,4000,,,,,
"(0.0, 0.0, -0.5)",-0.0001,0.02,0.010353049999999999,0.024609307965831512,4000,,,,,
"(0.5, 0.0, 0.0)",0.0002,0.01,0.010221855,0.01845276969146631,4000,,,,,
"(0.0, 0.0, -0.5)",-0.0001,0.01,0.010193315,0.016897425105754323,4000,,,,,
"(-0.5, 0.0, -0.5)",0.0002,0.01,0.0101693975,0.015837489813189772,4000,,,,,
"(0.5, 0.0, 0.0)",0.0003,0.02,0.0101588975,0.024927928680830543,4000,,,,,
"(0.5, 0.0, -0.5)",-0.0001,0.02,0.0101286075,0.02490530868481888,4000,,,,,
"(0.5, 0.0, 0.0)",0.0002,0.005,0.0101256,0.016133898473710252,4000,,,,,
"(0.5, 0.0, 0.0)",0.0003,0.01,0.010120835,0.018516197211970203,4000,,,,,
"(0.5, 0.0, 0.0)",0.0002,0.02,0.010098682500000001,0.025118915802079537,4000,,,,,
"(0.5, 0.0, 0.0)",-0.0001,0.02,0.0100957825,0.024946435661247164,4000,,,,,
"(0.0, 0.0, 0.0)",0.0002,0.02,0.010094365,0.0244451762410734,4000,,,,,
"(0.0, 0.0, -0.5)",-0.0001,0.005,0.0100761225,0.014600242868286368,4000,,,,,
"(-0.5, 0.0, -0.5)",0.0002,0.02,0.010040430000000001,0.023831331744329297,4000,,,,,
"(-0.5, 0.0, -0.5)",0.0003,0.005,0.009947784999999999,0.013882730900225912,4000,,,,,
"(-0.5, 0.0, -0.5)",-0.0001,0.02,0.009939920000000001,0.024021410021654803,4000,,,,,
"(0.5, 0.0, 0.0)",0.0003,0.005,0.009925877500000001,0.01620883016518541,4000,,,,,
"(0.5, 0.0, 0.0)",-0.0001,0.01,0.0098346575,0.018325212657358928,4000,,,,,
"(-0.5, 0.0, -0.5)",0.0003,0.01,0.009829465,0.01632193308216459,4000,,,,,
"(-0.5, 0.0, -0.5)",0.0002,0.005,0.0098033375,0.013926701428883513,4000,,,,,
"(0.0, 0.0, 0.0)",0.0002,0.01,0.0096920225,0.017427237042406545,4000,,,,,
"(0.0, 0.0, 0.0)",0.0003,0.01,0.0096201925,0.017598450964702358,4000,,,,,
"(0.5, 0.0, 0.0)",-0.0001,0.005,0.0096129375,0.01608682439221148,4000,,,,,
"(0.5, 0.0, 0.5)",0.0003,0.02,0.009589684999999999,0.026802855608460196,4000,,,,,
"(0.0, 0.0, 0.0)",0.0002,0.005,0.009573785000000001,0.01533945593562154,4000,,,,,
"(0.0, 0.0, 0.0)",0.0003,0.005,0.00955452,0.015449213665113112,4000,,,,,
"(-0.5, 0.0, -0.5)",0.0003,0.02,0.009526199999999999,0.02373181477717527,4000,,,,,
"(-0.5, 0.0, -0.5)",-0.0001,0.01,0.009523015,0.016347297998376885,4000,,,,,
"(-0.5, 0.0, -0.5)",-0.0001,0.005,0.009503115,0.013909890975975173,4000,,,,,
"(-0.5, 0.0, 0.0)",0.0002,0.02,0.00949263,0.02413891733002053,4000,,,,,
"(0.0, 0.0, 0.0)",0.0003,0.02,0.00947559,0.024634816677825883,4000,,,,,
"(0.5, 0.0, 0.5)",0.0003,0.01,0.0091894825,0.01968511501097825,4000,,,,,
"(0.5, 0.0, 0.5)",0.0002,0.01,0.009163035,0.0197919969008715,4000,,,,,
"(0.5, 0.0, 0.5)",0.0003,0.005,0.0091626725,0.01797643516907873,4000,,,,,
"(0.0, 0.0, 0.0)",-0.0001,0.005,0.009160745,0.01539007558953618,4000,,,,,
