mu,alpha,epsilon,mean_return,std_return,count,spearman_alpha_mean,spearman_epsilon_std,spearman_epsilon_mean,spearman_mu0_mean,spearman_mu0_std
"(0.5, 0.5, 0.5)",0.0003,0.02,0.0032908975,0.029862468195398315,4000,0.2766947388448835,0.817582298965445,-0.00941236322739022,0.2070001409016124,0.15167556315283018
"(0.5, 0.5, 0.5)",0.0002,0.02,0.003088955,0.030204242895331673,4000,,,,,
"(0.5, 0.0, -0.5)",0.0003,0.02,0.002980875,0.025628107897638027,4000,,,,,
"(0.5, 0.5, 0.5)",0.0003,0.01,0.0029026524999999997,0.023940877174598613,4000,,,,,
"(0.0, 0.5, 0.0)",0.0003,0.02,0.0028620025,0.028174864483474636,4000,,,,,
"(0.5, 0.5, 0.0)",0.0003,0.005,0.0028561775,0.02049678800429761,4000,,,,,
"(0.5, 0.5, 0.5)",0.0003,0.005,0.00283308,0.022306956536943482,4000,,,,,
"(0.5, 0.5, -0.5)",0.0003,0.01,0.0028117775,0.02153997585201571,4000,,,,,
"(0.0, 0.5, 0.5)",0.0002,0.005,0.002804995,0.02146523264031982,4000,,,,,
"(0.5, 0.5, -0.5)",0.0002,0.02,0.00279667,0.027593651677774174,4000,,,,,
"(0.0, 0.5, 0.0)",0.0003,0.01,0.002796,0.021498602412166643,4000,,,,,
"(0.5, 0.5, -0.5)",0.0003,0.005,0.002795715,0.019415302624032706,4000,,,,,
"(-0.5, 0.5, 0.5)",0.0003,0.01,0.0027783275,0.02243338150567562,4000,,,,,
"(0.5, 0.5, 0.0)",0.0002,0.02,0.00277792,0.028343764204246336,4000,,,,,
"(0.5, 0.5, 0.0)",-0.0001,0.02,0.0027748425,0.028501886800052095,4000,,,,,
"(0.0, 0.5, 0.5)",0.0003,0.005,0.00276757,0.02160188201342031,4000,,,,,
"(0.0, 0.5, 0.0)",0.0003,0.005,0.0027674699999999997,0.01969108611827264,4000,,,,,
"(0.5, 0.5, 0.0)",0.0003,0.02,0.0027653175,0.02803406084107338,4000,,,,,
"(0.5, 0.5, 0.5)",0.0002,0.01,0.0027496625,0.023649115252460298,4000,,,,,
"(0.0, 0.5, 0.5)",0.0003,0.01,0.0027218274999999998,0.023275298710602216,4000,,,,,
"(0.5, 0.5, 0.5)",0.0002,0.005,0.0027170174999999997,0.022389207865328886,4000,,,,,
"(0.5, 0.5, 0.5)",-0.0001,0.01,0.0027093775,0.023979112508528477,4000,,,,,
"(-0.5, 0.5, 0.0)",0.0003,0.02,0.0027092975,0.027000008226712703,4000,,,,,
"(0.5, 0.5, -0.5)",0.0002,0.005,0.002703965,0.019342711176246388,4000,,,,,
"(-0.5, 0.5, 0.0)",0.0003,0.005,0.00269715,0.01869766901606076,4000,,,,,
"(0.5, 0.0, 0.5)",0.0003,0.02,0.0026918099999999998,0.0277735843045182,4000,,,,,
"(0.0, 0.5, -0.5)",0.0003,0.005,0.0026856675000000003,0.01852055798218393,4000,,,,,
"(0.5, 0.5, -0.5)",0.0002,0.01,0.0026587100000000003,0.02148238568245048,4000,,,,,
"(-0.5, 0.5, -0.5)",0.0003,0.02,0.00265271,0.025762011728861146,4000,,,,,
"(0.0, 0.0, 0.0)",0.0002,0.02,0.0026502599999999998,0.02513292223115669,4000,,,,,
"(-0.5, 0.5, 0.0)",0.0003,0.01,0.0026466625000000003,0.020473713150492148,4000,,,,,
"(0.5, 0.5, 0.0)",0.0002,0.005,0.0026451400000000003,0.02036845881035131,4000,,,,,
"(0.0, 0.5, 0.0)",0.0002,0.005,0.0026275575,0.01958852554922121,4000,,,,,
"(0.0, 0.0, -0.5)",0.0003,0.02,0.0026190700000000003,0.025127140615955133,4000,,,,,
"(-0.5, 0.5, 0.5)",0.0002,0.005,0.00261287,0.020440749304297286,4000,,,,,
"(0.5, 0.5, 0.0)",0.0002,0.01,0.002610055,0.022277798041286913,4000,,,,,
"(0.0, 0.5, -0.5)",0.0002,0.005,0.002605915,0.01861024795092674,4000,,,,,
"(0.0, 0.5, 0.0)",-0.0001,0.01,0.0025881025000000003,0.021406654594768607,4000,,,,,
"(0.5, 0.5, -0.5)",0.0003,0.02,0.002581045,0.027326145726538926,4000,,,,,
"(-0.5, 0.5, -0.5)",0.0002,0.02,0.0025656050000000003,0.026387540948585968,4000,,,,,
"(-0.5, 0.5, -0.5)",0.0003,0.01,0.0025556775,0.019700773691964726,4000,,,,,
"(0.5, 0.5, 0.5)",-0.0001,0.005,0.00255171,0.022420059109835584,4000,,,,,
"(0.0, 0.5, -0.5)",0.0003,0.01,0.0025498475,0.02059014820010942,4000,,,,,
"(0.0, 0.5, 0.5)",0.0002,0.01,0.0025463275,0.0232349975396041,4000,,,,,
"(0.0, 0.5, -0.5)",0.0002,0.01,0.0025396675000000004,0.02045653070113613,4000,,,,,
"(-0.5, 0.5, 0.5)",0.0003,0.005,0.002537245,0.020443657665512326,4000,,,,,
"(0.5, 0.5, 0.0)",0.0003,0.01,0.002508595,0.021967423535776243,4000,,,,,
"(0.0, 0.5, -0.5)",0.0002,0.02,0.00249921,0.02702239511193073,4000,,,,,
"(-0.5, 0.5, 0.5)",0.0002,0.02,0.002498085,0.028804803478910214,4000,,,,,
"(0.0, 0.5, -0.5)",-0.0001,0.01,0.00248008,0.020352837482572245,4000,,,,,
