t,market_index,MKT,SMB,HML
t_0,101.27061534646108,0.01224465082502133,-0.006106363213646265,0.0022967950222466844
t_1,101.9498554059402,0.009475065749294543,-0.012083135989350954,-0.0015162583899527601
t_2,103.5402642477837,0.015299422500551399,-0.00259642246749249,-0.006467800984180429
t_3,103.54855727863166,-0.000308152786126047,-0.0025616427457021496,-0.0037265992847202384
t_4,104.48881831719939,0.010129788025167721,-0.006914878424695929,-0.005976739637440111
t_5,105.50149650505433,0.009703301724508027,-0.002031510634553973,0.0037450151013608537
t_6,105.74976634649582,0.0032478318483194217,-0.005989490071983397,0.0012558659758450357
t_7,103.3899280823008,-0.0219543907710486,-0.004825737285359566,-0.0046629385635141764
t_8,102.88226222921587,-0.0028751399443189395,-0.009538209511066329,0.003589939079717238
t_9,102.7670104733074,-0.002756270485424969,0.0036426885890567563,-0.0006808969400682718
