stock_id,t,state,characteristic_1,characteristic_2,characteristic_3,mu,alpha,epsilon_variance,beta_mkt,beta_smb,beta_hml,MKT,SMB,HML,epsilon,raw_return,return,price
stock_000,t_0,0,-0.7859644327305179,-0.7804047497277934,-0.7924107439016883,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8428071134538964,0.009797625136103327,-0.39620537195084415,1.224%,-0.611%,0.230%,0.322%,1.277%,1.277%,101.27655882455724
stock_000,t_1,0,-1.0508074637121585,-0.9933334079390626,-1.0080658349876537,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.7898385072575683,-0.09666670396953125,-0.5040329174938268,0.948%,-1.208%,-0.152%,5.967%,6.929%,6.929%,108.29399617593872
stock_000,t_2,0,-1.169903535609162,-1.0933809884834993,-1.141827059815494,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.7660192928781676,-0.14669049424174962,-0.570913529907747,1.530%,-0.260%,-0.647%,-2.750%,-1.151%,-1.151%,107.0474986598492
stock_000,t_3,0,-1.2197024843616417,-1.206642898344941,-1.2248404249586722,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.7560595031276717,-0.20332144917247053,-0.6124202124793361,-0.031%,-0.256%,-0.373%,-0.257%,0.020%,0.020%,107.06928791301374
stock_000,t_4,0,-1.2549293212847548,-1.3717472331155518,-1.3153265492045751,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.7490141357430491,-0.2858736165577759,-0.6576632746022876,1.013%,-0.691%,-0.598%,4.496%,5.865%,5.865%,113.34911690235802
stock_000,t_5,0,-1.3439264180926584,-1.4299683724197092,-1.371470792056575,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.7312147163814683,-0.3149841862098546,-0.6857353960282875,0.970%,-0.203%,0.375%,2.978%,3.515%,3.515%,117.33353585373118
stock_000,t_6,0,-1.2838556930861642,-1.4814293090144055,-1.333359313561285,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.7432288613827671,-0.34071465450720273,-0.6666796567806424,0.325%,-0.599%,0.126%,-1.741%,-1.359%,-1.359%,115.73921103275825
stock_000,t_7,0,-1.435478386802955,-1.4830221526585103,-1.3569183699085348,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.712904322639409,-0.34151107632925515,-0.6784591849542674,-2.195%,-0.483%,-0.466%,0.560%,-0.504%,-0.504%,115.1558231251893
stock_000,t_8,0,-1.397887611540364,-1.4212908044404604,-1.334396106328552,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.7204224776919272,-0.3106454022202302,-0.667198053164276,-0.288%,-0.954%,0.359%,0.005%,-0.125%,-0.125%,115.01147173487612
stock_000,t_9,0,-1.4295504518361428,-1.4515801304461733,-1.3158789162381297,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.7140899096327714,-0.3257900652230866,-0.6579394581190648,-0.276%,0.364%,-0.068%,0.705%,0.454%,0.454%,115.53384336813394
stock_001,t_0,0,-0.8364782594928969,-0.9015411794002752,-0.06799723284020884,"(-0.5,-0.5,0.0)",0.020%,2.500%,0.8327043481014206,-0.05077058970013759,-0.03399861642010442,1.224%,-0.611%,0.230%,-1.747%,-0.684%,-0.684%,99.31610988916813
stock_001,t_1,0,-1.0988780058304797,-1.056172121966953,-0.03565265718190183,"(-0.5,-0.5,0.0)",0.020%,2.500%,0.780224398833904,-0.12808606098347652,-0.017826328590950916,0.948%,-1.208%,-0.152%,-0.223%,0.693%,0.693%,100.00480533902551
stock_001,t_2,0,-1.1728415825457457,-1.2121470380587116,-0.013661845703633338,"(-0.5,-0.5,0.0)",0.020%,2.500%,0.7654316834908509,-0.20607351902935578,-0.006830922851816669,1.530%,-0.260%,-0.647%,-3.995%,-2.746%,-2.746%,97.25853220797458
stock_001,t_3,0,-1.2248116050166944,-1.306456367121377,0.018526314546083014,"(-0.5,-0.5,0.0)",0.020%,2.500%,0.7550376789966611,-0.25322818356068844,0.009263157273041507,-0.031%,-0.256%,-0.373%,0.338%,0.396%,0.396%,97.64363508823392
stock_001,t_4,0,-1.3358430997248503,-1.3709798694227995,-0.010862169184945784,"(-0.5,-0.5,0.0)",0.020%,2.500%,0.7328313800550299,-0.2854899347113997,-0.005431084592472892,1.013%,-0.691%,-0.598%,1.125%,2.088%,2.088%,99.68248611012308
stock_001,t_5,0,-1.440048393556495,-1.361918566277685,-0.03522455038237819,"(-0.5,-0.5,0.0)",0.020%,2.500%,0.711990321288701,-0.28095928313884244,-0.017612275191189096,0.970%,-0.203%,0.375%,-0.569%,0.193%,0.193%,99.87467246119536
stock_001,t_6,0,-1.4352818086880605,-1.3564022685461405,0.0038959128132508188,"(-0.5,-0.5,0.0)",0.020%,2.500%,0.7129436382623879,-0.27820113427307025,0.0019479564066254094,0.325%,-0.599%,0.126%,-4.038%,-3.619%,-3.619%,96.26000612759546
stock_001,t_7,0,-1.3930100691088723,-1.3875706036255568,-0.022865555394036192,"(-0.5,-0.5,0.0)",0.020%,2.500%,0.7213979861782256,-0.2937853018127784,-0.011432777697018096,-2.195%,-0.483%,-0.466%,2.471%,1.055%,1.055%,97.2752107715293
stock_001,t_8,0,-1.410239637575151,-1.5031609583940937,-0.10168935935150876,"(-0.5,-0.5,0.0)",0.020%,2.500%,0.7179520724849697,-0.3515804791970468,-0.05084467967575438,-0.288%,-0.954%,0.359%,0.911%,1.042%,1.042%,98.28880214850291
